FID,region,cut,region_1,ine,comuna,provincia,shape_leng,cont,shape_le_1,shape_area,Shape__Area,Shape__Length
3384,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,453.025372966,0,453.016463304,15184.4470619,40707.6171875,741.618869773718
3385,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,10764.3068609,0,10764.0511062,4332464.74999,11619039.1445313,17631.0830788496
3386,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,9470.16247721,0,9469.93831814,1416775.52157,3796165.88671875,15498.77332273
3387,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,1622.99151782,0,1622.95319103,185724.05221,498562.28515625,2659.70365237961
3388,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,11660.5432621,0,11660.2558479,3049255.60248,8170032.3515625,19085.5027088754
3389,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,741.534099446,0,741.516867592,39076.6412948,104674.89453125,1213.92771443697
3390,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,1319.65040276,0,1319.61886071,90815.4607549,243271.51953125,2159.65170526109
3391,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,962.598988553,0,962.574229387,67313.1681376,180243.95703125,1574.71800125234
3392,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,1048.68497396,0,1048.65974765,57231.2691685,153311.57421875,1715.14560157304
3393,12,12401,XII,585,NATALES,ULTIMA ESPERANZA,832.665901859,0,832.646224971,51081.2437902,136821.94140625,1362.77934491075
